City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Djambala,CG,-2.5447,14.7533,25.33,71,100,1.43,overcast clouds
294,Las Vegas,US,36.175,-115.1372,21.67,22,1,0.46,clear sky
295,Berezovyy,RU,51.6667,135.7,-3.88,65,83,5.37,broken clouds
296,Okhotsk,RU,59.3833,143.3,-4.52,70,100,6.33,overcast clouds
297,Bambous Virieux,MU,-20.3428,57.7575,28.0,78,40,2.06,scattered clouds
298,Kenai,US,60.5544,-151.2583,-5.0,93,40,1.54,scattered clouds
299,Nouadhibou,MR,20.931,-17.0347,27.0,50,91,6.17,overcast clouds
300,San Mateo Del Mar,MX,16.2,-95.0,24.86,61,0,17.12,clear sky
301,Kolosovka,RU,56.4678,73.611,-2.57,96,53,3.82,broken clouds
302,Hammerfest,NO,70.6634,23.6821,1.0,69,90,6.69,light snow
303,Melioratorov,RU,57.2107,65.6077,5.0,52,0,4.0,clear sky
304,Hashtrud,IR,37.4779,47.0508,8.62,35,85,7.35,overcast clouds
305,Port Macquarie,AU,-31.4333,152.9167,17.22,100,99,2.11,overcast clouds
306,Hambantota,LK,6.1241,81.1185,29.0,74,20,2.57,few clouds
307,Chokurdakh,RU,70.6333,147.9167,-31.32,100,63,1.99,broken clouds
308,Carutapera,BR,-1.195,-46.02,29.25,69,56,2.91,broken clouds
309,Voyskovitsy,RU,59.5287,29.964,4.0,70,40,4.0,light rain
310,Poum,NC,-20.2333,164.0167,26.57,83,99,7.38,overcast clouds
311,Chuy,UY,-33.6971,-53.4616,23.68,53,49,3.61,scattered clouds
312,Chebenki,RU,51.9337,55.7077,2.0,87,90,4.0,overcast clouds
313,Dwarka,IN,22.2394,68.9678,27.72,64,5,5.27,clear sky
314,Goderich,CA,43.7501,-81.7165,3.0,56,100,6.17,overcast clouds
315,Atar,MR,20.5169,-13.0499,39.24,8,79,3.39,broken clouds
316,Eureka,US,40.8021,-124.1637,9.44,83,87,0.98,overcast clouds
317,La Crosse,US,43.8014,-91.2396,12.22,47,1,2.57,clear sky
318,Lompoc,US,34.6391,-120.4579,10.0,81,63,2.06,broken clouds
319,Imbituba,BR,-28.24,-48.6703,23.0,78,75,1.54,broken clouds
320,Plettenberg Bay,ZA,-34.0527,23.3716,19.48,67,8,3.27,clear sky
321,Oktyabrskoye,RU,43.0645,44.7417,14.0,54,75,4.0,broken clouds
322,Port Hardy,CA,50.6996,-127.4199,6.0,100,90,1.6,light rain
323,Inhambane,MZ,-23.865,35.3833,28.0,57,40,2.57,scattered clouds
324,Mingaora,PK,34.7758,72.3625,16.41,28,87,2.2,overcast clouds
325,Ahipara,NZ,-35.1667,173.1667,15.68,89,54,1.49,broken clouds
326,Teguldet,RU,57.3064,88.1667,0.53,97,100,3.9,light snow
327,Muros,ES,42.7762,-9.0603,21.67,51,0,5.27,clear sky
328,Havoysund,NO,70.9963,24.6622,1.0,69,90,6.69,snow
329,Qunduz,AF,36.729,68.857,16.83,39,47,1.5,scattered clouds
330,Anderson,US,34.5334,-82.6499,11.0,25,1,1.54,clear sky
331,Guiratinga,BR,-16.3494,-53.7583,30.64,50,61,1.99,moderate rain
332,Coromandel,BR,-18.4733,-47.2003,29.7,43,49,1.53,scattered clouds
333,Loandjili,CG,-4.7561,11.8578,30.0,74,20,3.09,light rain
334,Mackay,AU,-21.15,149.2,22.0,100,90,4.63,overcast clouds
335,Izumo,JP,35.3667,132.7667,19.0,52,75,7.72,broken clouds
336,Ellisras,ZA,-23.6649,27.7443,32.85,21,53,2.94,broken clouds
337,Khuzdar,PK,27.7384,66.6434,27.72,12,5,3.05,clear sky
338,Yulara,AU,-25.2406,130.9889,24.0,33,0,3.6,clear sky
339,Katsuura,JP,35.1333,140.3,16.67,84,90,4.98,overcast clouds
340,Bustamante,MX,26.5333,-100.5,16.83,74,99,4.52,overcast clouds
341,Nanortalik,GL,60.1432,-45.2371,2.56,99,100,1.53,overcast clouds
342,Bokoro,TD,12.3807,17.0568,38.86,8,46,3.79,scattered clouds
343,Okato,NZ,-39.2,173.8833,11.67,75,48,1.79,scattered clouds
344,Santa Maria Del Oro,MX,25.9333,-105.3667,19.29,48,100,1.07,overcast clouds
